epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.1156,1.02418,2.27311,1.34527,0.7473,0.26291,0.49434,0.36785,0.96699,2.51221,1.25438,0.000546704,0.000546704,0.000546704
2,76.043,1.07578,1.62271,1.37788,0.60897,0.59198,0.6578,0.40556,1.20086,2.1431,1.56501,0.00108054,0.00108054,0.00108054
3,99.4112,1.0875,1.55808,1.39807,0.59111,0.50539,0.54649,0.33756,1.29148,2.10897,1.64793,0.00159238,0.00159238,0.00159238
4,126.765,1.14657,1.49195,1.44007,0.59531,0.664,0.65576,0.36691,1.39859,2.12729,1.65671,0.00156798,0.00156798,0.00156798
5,182.318,1.16003,1.4906,1.42415,0.79914,0.66684,0.73978,0.46822,1.17068,1.60492,1.49315,0.00153497,0.00153497,0.00153497
6,248.957,1.07504,1.32029,1.34821,0.80438,0.67644,0.74941,0.52127,1.10004,1.56715,1.40919,0.00150197,0.00150197,0.00150197
7,283.948,1.09306,1.33521,1.37395,0.76204,0.67894,0.72347,0.457,1.22511,1.65499,1.51039,0.00146896,0.00146896,0.00146896
8,311.198,1.09076,1.30356,1.3532,0.81115,0.65779,0.76223,0.51408,1.15105,1.50761,1.50229,0.00143595,0.00143595,0.00143595
9,334.75,1.04799,1.20687,1.33142,0.81686,0.69878,0.77323,0.52294,1.13089,1.3357,1.43244,0.00140295,0.00140295,0.00140295
10,358.829,0.99956,1.20604,1.31878,0.83835,0.72566,0.80485,0.54843,1.08331,1.26617,1.40658,0.00136994,0.00136994,0.00136994
11,382.864,1.00337,1.17126,1.31476,0.81982,0.75511,0.81135,0.55025,1.03957,1.19872,1.37481,0.00133693,0.00133693,0.00133693
12,404.316,1.01293,1.12081,1.32582,0.81722,0.75027,0.7998,0.53957,1.07494,1.23558,1.36453,0.00130393,0.00130393,0.00130393
13,430.27,1.03061,1.11661,1.3253,0.92278,0.66978,0.80246,0.56213,1.1008,1.13875,1.3718,0.00127092,0.00127092,0.00127092
14,452.703,0.99453,1.11444,1.32793,0.91381,0.70398,0.8291,0.56515,1.07126,1.19993,1.35092,0.00123791,0.00123791,0.00123791
15,474.617,0.97976,1.07386,1.30409,0.8424,0.77197,0.84282,0.57062,1.065,1.13065,1.34178,0.00120491,0.00120491,0.00120491
16,496.823,0.95849,1.06764,1.29153,0.85494,0.73902,0.82672,0.55861,1.08399,1.17467,1.4261,0.0011719,0.0011719,0.0011719
17,519.346,0.92638,1.0382,1.25043,0.8447,0.74647,0.80335,0.55194,1.10921,1.1388,1.38098,0.00113889,0.00113889,0.00113889
18,542.165,0.91914,1.01275,1.24291,0.85028,0.75922,0.84088,0.60246,1.00822,1.0464,1.31048,0.00110589,0.00110589,0.00110589
19,563.395,0.9322,0.9891,1.26105,0.83812,0.73771,0.81686,0.60078,0.97935,1.02947,1.2701,0.00107288,0.00107288,0.00107288
20,585.6,0.87481,0.94837,1.20731,0.90809,0.69532,0.82433,0.58841,0.98658,0.99924,1.27862,0.00103987,0.00103987,0.00103987
21,606.148,0.87783,0.98715,1.24487,0.83086,0.81275,0.85741,0.62401,0.97066,0.96629,1.27114,0.00100687,0.00100687,0.00100687
22,629.293,0.84436,0.90639,1.21218,0.88915,0.72403,0.84582,0.61414,0.95939,0.9378,1.25207,0.000973861,0.000973861,0.000973861
23,650.813,0.85898,0.90495,1.22924,0.84652,0.77932,0.84197,0.60586,1.00074,1.0215,1.27436,0.000940855,0.000940855,0.000940855
24,673.864,0.85422,0.89458,1.20583,0.8335,0.76599,0.85222,0.60207,0.98645,0.98789,1.28013,0.000907848,0.000907848,0.000907848
25,694.64,0.82215,0.87529,1.20528,0.87378,0.76552,0.85817,0.61562,0.97907,0.91047,1.28762,0.000874842,0.000874842,0.000874842
26,719.916,0.83392,0.86805,1.19406,0.89465,0.7667,0.85267,0.60043,0.9962,0.95299,1.30722,0.000841835,0.000841835,0.000841835
27,741.27,0.81998,0.84991,1.19055,0.89498,0.75995,0.86283,0.62199,0.95258,0.8767,1.26506,0.000808828,0.000808828,0.000808828
28,761.737,0.81317,0.86762,1.19281,0.85042,0.76297,0.84956,0.59579,0.93826,0.94441,1.23873,0.000775822,0.000775822,0.000775822
29,781.864,0.76367,0.97888,1.14219,0.83756,0.78259,0.85984,0.61843,0.94256,0.93862,1.26076,0.000742815,0.000742815,0.000742815
30,801.513,0.81386,0.84381,1.18903,0.8627,0.74582,0.82666,0.59034,0.95896,1.00182,1.29128,0.000709809,0.000709809,0.000709809
31,825.832,0.80422,0.83411,1.18308,0.87745,0.76468,0.8593,0.61274,0.95913,0.9078,1.34964,0.000676802,0.000676802,0.000676802
